name,team,agents,rounds,rating,ACS,KD,ADR,KPR,APR,FKPR
Meddo,TL,"['killjoy', 'cypher', 'viper']",775,1.03,199.0,1.09,134.7,0.71,0.21,0.06
Zyppan,NAVI,"['raze', 'kayo', 'sage']",1591,1.02,215.3,1.01,144.3,0.74,0.27,0.12
Benkai,PRX,"['breach', 'cypher', 'sova']",749,1.02,176.2,0.98,116.5,0.63,0.32,0.05
valyn,TGRD,"['astra', 'brimstone', 'omen']",776,1.02,194.6,1.01,124.8,0.68,0.35,0.07
gMd,TSM,"['fade', 'viper', 'astra']",145,1.02,198.5,1.05,135.3,0.7,0.34,0.03
hoody,GIA,"['sage', 'kayo', 'skye']",775,1.02,208.5,1.0,133.9,0.71,0.33,0.13
Jinggg,PRX,"['raze', 'sage', 'reyna']",749,1.02,242.9,1.04,156.9,0.82,0.25,0.15
wippie,G2,"['killjoy', 'cypher', 'viper']",294,1.02,197.9,1.09,136.4,0.71,0.23,0.07
Victor,NRG,"['kayo', 'raze', 'neon']",1958,1.02,218.0,1.03,140.3,0.73,0.29,0.15
Neon,DNAD,"['sage', 'raze', 'jett']",148,1.02,206.1,1.12,132.9,0.74,0.22,0.13
eeiu,M80,"['breach', 'sova', 'fade']",486,1.02,204.0,0.99,137.4,0.7,0.32,0.05
Xeppaa,C9,"['raze', 'kayo', 'skye']",605,1.01,220.1,1.03,139.9,0.77,0.34,0.08
Jamppi,TL,"['chamber', 'jett', 'breach']",851,1.01,219.5,1.04,142.2,0.77,0.16,0.18
DubsteP,TS,"['kayo', 'jett', 'chamber']",267,1.01,205.7,1.03,138.5,0.73,0.15,0.15
stellar,100T,"['sage', 'viper', 'cypher']",787,1.01,179.9,0.95,116.6,0.63,0.32,0.06
Cloud,GIA,"['skye', 'sova', 'kayo']",488,1.01,220.4,1.01,149.3,0.76,0.27,0.13
mitch,OXG,"['killjoy', 'chamber', 'cypher']",605,1.01,195.6,1.02,127.0,0.69,0.24,0.1
MONSTEERR,ACE,"['killjoy', 'viper', 'cypher']",222,1.01,204.5,1.03,133.1,0.73,0.21,0.07
BORKUM,TS,"['astra', 'viper', 'omen']",267,1.01,201.9,1.04,133.9,0.72,0.29,0.09
Less,LOUD,"['viper', 'killjoy', 'chamber']",657,1.0,199.0,1.07,130.2,0.7,0.21,0.09
Will,MAD,"['chamber', 'raze', 'jett']",787,1.0,212.7,1.02,136.8,0.74,0.2,0.13
Boostio,EG,"['jett', 'skye', 'chamber']",620,1.0,218.5,1.07,143.7,0.8,0.16,0.17
xand,KRÜ,"['killjoy', 'chamber', 'kayo']",258,1.0,212.5,1.04,135.6,0.78,0.16,0.13
Mixwell,TH,"['chamber', 'jett', 'sage']",709,1.0,207.3,1.0,135.9,0.73,0.19,0.14
BuZz,DRX,"['killjoy', 'astra', 'chamber']",664,1.0,216.1,1.02,141.6,0.74,0.18,0.16
Shiro,BME,"['chamber', 'sova', 'fade']",222,0.99,172.7,0.9,122.0,0.6,0.32,0.05
t3xture,GES,"['jett', 'neon', 'raze']",123,0.99,228.8,0.96,142.9,0.76,0.16,0.2
stax,DRX,"['breach', 'skye', 'kayo']",664,0.99,180.0,0.99,120.0,0.66,0.27,0.05
Duno,TWIS,"['astra', 'sova', 'kayo']",488,0.99,179.3,0.9,118.1,0.61,0.4,0.04
cNed,NAVI,"['jett', 'reyna', 'chamber']",262,0.99,225.5,1.07,140.4,0.77,0.11,0.18
Famouz,BME,"['raze', 'skye', 'chamber']",378,0.99,211.1,0.92,143.1,0.69,0.27,0.08
severiNe,BME,"['viper', 'chamber', 'kayo']",222,0.99,205.8,0.96,131.5,0.69,0.34,0.08
zeddy,ULT,"['omen', 'viper', 'breach']",313,0.99,205.2,0.92,134.5,0.7,0.33,0.08
curry,C9,"['viper', 'omen', 'breach']",188,0.99,179.0,0.84,118.7,0.59,0.44,0.06
deLb,AE,"['jett', 'raze', 'neon']",174,0.99,240.4,1.07,157.1,0.82,0.13,0.17
BABYBAY,FaZe,"['jett', 'chamber', 'raze']",568,0.99,229.0,1.0,147.0,0.76,0.22,0.18
JessieVash,TS,"['sova', 'breach']",267,0.99,195.8,0.93,137.0,0.64,0.3,0.07
moose,SR,"['killjoy', 'viper', 'cypher']",652,0.98,189.6,0.98,127.8,0.66,0.25,0.07
Boaster,FNC,"['breach', 'kayo', 'viper']",913,0.98,184.9,0.89,118.9,0.6,0.39,0.07
